,gold_present,wrong_present,gold2_present,wrong2_present,out,out2,order,question1,question2,f11,f12,ac,ac2,judge,og_accuracy,cf_accuracy,orig_comp,cf_comp
2wiki-38aa034408c411ebbd8eac1f6bf848b6,False,False,True,False,,"Michael Treanor was born on April 17, 1979",switched,"Who is younger, Adrian Zaugg or Michael Treanor?","Who is older, Adrian Zaugg or Michael Treanor?",0.0,0.3636363636363636,0.0,0.0,Doubled_or_neither,0,1,younger,older
2wiki-dbe82b8a085611ebbd59ac1f6bf848b6,True,False,True,False,Mohan Chand Sharma,Sofian Chahed ( born 18 April 1983 ),orig,Was Mohan Chand Sharma or Sofian Chahed born first?,Was Mohan Chand Sharma or Sofian Chahed born last?,1.0,0.2222222222222222,1.0,0.0,Correct,1,1,first,last
2wiki-3c65eba6088311ebbd6dac1f6bf848b6,True,False,True,False,Christian Gottfried Lorsch.,Antonio Muñoz Degrain,orig,"Who died earlier, Christian Gottfried Lorsch or Antonio Muñoz Degrain?","Who died later, Christian Gottfried Lorsch or Antonio Muñoz Degrain?",0.8571428571428571,1.0,0.0,1.0,Correct,1,1,earlier,later
hotpot-5abefd4e5542990832d3a11b,True,True,True,True,Madrugada was formed before The Fiery,Madrugada was formed earlier than The Fier,orig,Which band was formed first The Fiery Furnaces or Madrugada?,Which band was formed last The Fiery Furnaces or Madrugada?,0.2857142857142857,0.2,0.0,0.0,Doubled_or_neither,0,0,first,last
2wiki-e8f59f2e084f11ebbd56ac1f6bf848b6,False,False,False,False,,,orig,"Who was born earlier, Ellen Tronnier or Georgi Mirtchev?","Who was born later, Ellen Tronnier or Georgi Mirtchev?",0.0,0.0,0.0,0.0,Doubled_or_neither,0,0,earlier,later
2wiki-f08858d7094811ebbdaeac1f6bf848b6,False,True,True,False,Eradu Kanasu,Eradu Kanasu,orig,"Which film was released first, Eradu Kanasu or The Black Chapel?","Which film was released last, Eradu Kanasu or The Black Chapel?",0.0,1.0,0.0,1.0,Fail,0,1,first,last
2wiki-d9c376f108c911ebbd92ac1f6bf848b6,False,True,False,True,Denise Pesántes,Rüdiger Haas. Rüd,orig,"Who was born earlier, Denise Pesántes or Rüdiger Haas?","Who was born later, Denise Pesántes or Rüdiger Haas?",0.0,0.0,0.0,0.0,Reversed,0,0,earlier,later
2wiki-bddc9d3408da11ebbd9cac1f6bf848b6,True,False,True,False,Daasa,Rajani Kantha,switched,"Which film came out earlier, Rajani Kantha or Daasa?","Which film came out later, Rajani Kantha or Daasa?",1.0,1.0,1.0,1.0,Correct,1,1,earlier,later
2wiki-378b3fba088f11ebbd72ac1f6bf848b6,True,False,False,True,"S,ergio Ferrari was born first on September 17","S Sergio Ferrari was born on September 17,",orig,"Who was born first, Sergio Ferrari or Patrick Kane?","Who was born last, Sergio Ferrari or Patrick Kane?",0.1818181818181818,0.0,0.0,0.0,Fail,1,0,first,last
2wiki-2ec292ae08b511ebbd88ac1f6bf848b6,True,False,True,False,Francis Lee Friedman.,Alfredo Yantorno. Alfredo Yant,orig,"Who was born earlier, Francis Lee Friedman or Alfredo Yantorno?","Who was born later, Francis Lee Friedman or Alfredo Yantorno?",0.8571428571428571,0.5714285714285715,0.0,0.0,Correct,1,1,earlier,later
2wiki-3d96bbce08c511ebbd8eac1f6bf848b6,True,False,False,True,Samuel Hoar.,"Samuel Hoar ( May 18, 1778 –",orig,Who was born first out of Bryan Stephens and Samuel Hoar?,Who was born last out of Bryan Stephens and Samuel Hoar?,0.8,0.0,0.0,0.0,Fail,1,0,first,last
hotpot-5adfd90f554299025d62a35c,True,False,False,True,Glamour,Glamour of Hollywood (1939) was founded,switched,"Between LaIsha and Glamour, which was founded first?","Between LaIsha and Glamour, which was founded last?",1.0,0.0,1.0,0.0,Fail,1,0,first,last
2wiki-762bb529089f11ebbd78ac1f6bf848b6,False,False,True,False,,"Michael Joseph Garzi (born March 1, 1991",orig,Was Sercan Görgülü or Mike Garzi born first?,Was Sercan Görgülü or Mike Garzi born last?,0.0,0.2,0.0,0.0,Doubled_or_neither,0,1,first,last
2wiki-c98896a208c511ebbd8fac1f6bf848b6,False,True,False,True,"Padmanabha Gautam, MVC(","Sheila Tracy was born on 10 January 1934,",orig,"Who is younger, Padmanabha Gautam or Sheila Tracy?","Who is older, Padmanabha Gautam or Sheila Tracy?",0.0,0.0,0.0,0.0,Reversed,0,0,younger,older
2wiki-40f69ffc089611ebbd76ac1f6bf848b6,True,False,False,True,Geoff Greetham,Geoff Greetham ( born 5 June 1962 ),orig,Was Geoff Greetham or Stefanos Kotsolis born first?,Was Geoff Greetham or Stefanos Kotsolis born last?,1.0,0.0,1.0,0.0,Fail,1,0,first,last
2wiki-a4730222087411ebbd67ac1f6bf848b6,True,False,False,False,Victor Starffin,,switched,"Who was born earlier, Jon Condo or Victor Starffin?","Who was born later, Jon Condo or Victor Starffin?",1.0,0.0,1.0,0.0,Doubled_or_neither,1,0,earlier,later
2wiki-841381ee089911ebbd77ac1f6bf848b6,True,False,False,True,Katha Pollitt,"Katha Pollitt (born October 14, 1949",switched,"Who was born first, Katha Pollitt or Iliyan Mitsanski?","Who was born last, Katha Pollitt or Iliyan Mitsanski?",1.0,0.0,1.0,0.0,Fail,1,0,first,last
2wiki-736688ed08ca11ebbd92ac1f6bf848b6,True,False,False,True,Elaine Crosby was born first.,"Elaine Crosby was born on June 6, 1958",switched,Who was born first out of Elaine Crosby and Hayden Kho?,Who was born last out of Elaine Crosby and Hayden Kho?,0.5,0.0,0.0,0.0,Fail,1,0,first,last
2wiki-86b400db092111ebbdaeac1f6bf848b6,True,False,True,False,The Commandment Of Love,The Robbers (Film),orig,"Which film came out first, The Robbers (Film) or The Commandment Of Love?","Which film came out last, The Robbers (Film) or The Commandment Of Love?",1.0,0.6666666666666666,1.0,0.0,Correct,1,1,first,last
2wiki-47a27c0c08ac11ebbd82ac1f6bf848b6,False,False,True,False,,Alexander Radó,orig,"Who was born later, Alexander Radó or Ariel S. Ballif?","Who was born earlier, Alexander Radó or Ariel S. Ballif?",0.0,1.0,0.0,1.0,Doubled_or_neither,0,1,later,earlier
2wiki-d07d3f86086a11ebbd5fac1f6bf848b6,True,False,True,False,"Gábor Straka ( born December 18,","Craig Heimburger ( born February 3, 1977",switched,"Who is younger, Craig Heimburger or Gábor Straka?","Who is older, Craig Heimburger or Gábor Straka?",0.4444444444444445,0.4,0.0,0.0,Correct,1,1,younger,older
2wiki-d7a0a032086511ebbd5eac1f6bf848b6,True,False,False,True,Town Without Pity.,"Town Without Pity. The movie ""Town Without",orig,"Which film came out earlier, Town Without Pity or Roja Kootam?","Which film came out later, Town Without Pity or Roja Kootam?",0.8571428571428571,0.0,0.0,0.0,Fail,1,0,earlier,later
hotpot-5a8e2c2a5542990e94052a85,True,False,True,False,Euridice was first performed. Euridice,Don Quichotte.,switched,"Which opera was first performed, Don Quichotte or Euridice?","Which opera was last performed, Don Quichotte or Euridice?",0.2857142857142857,0.8,0.0,0.0,Correct,1,1,first,last
2wiki-7b3bff2d085f11ebbd5cac1f6bf848b6,True,False,True,False,Joe Bonello (born 4 April 1961) was,Sergei Kopnin (born 1 September,switched,Was Joe Bonello or Sergei Kopnin born first?,Was Joe Bonello or Sergei Kopnin born last?,0.4444444444444445,0.5714285714285715,0.0,0.0,Correct,1,1,first,last
2wiki-69ad7ac208ca11ebbd92ac1f6bf848b6,True,False,False,True,Getting Mary Married,Getting Mary Married (1919) was released,switched,"Which film was released first, Getting Mary Married or La bella di Lodi?","Which film was released last, Getting Mary Married or La bella di Lodi?",1.0,0.0,1.0,0.0,Fail,1,0,first,last
2wiki-a3df7bb5091711ebbdaeac1f6bf848b6,False,True,False,True,Idi Maa Ashokgadi Love Story,10 Rillington Place. The 1971 British crime,switched,"Which film came out earlier, Idi Maa Ashokgadi Love Story or 10 Rillington Place?","Which film came out later, Idi Maa Ashokgadi Love Story or 10 Rillington Place?",0.0,0.0,0.0,0.0,Reversed,0,0,earlier,later
hotpot-5a751c3b5542993748c897bb,True,False,False,False,Hyomin ( Park Sun-young; born May,,switched,"Who is younger, Brian Fair or Hyomin?","Who is older, Brian Fair or Hyomin?",0.25,0.0,0.0,0.0,Doubled_or_neither,1,0,younger,older
hotpot-5a7d25405542995ed0d16603,True,False,False,True,"Arkansas State University (also known as ""A-",Arkansas State University.,orig,Which university is older University of Southern Queensland or Arkansas State University?,Which university is younger University of Southern Queensland or Arkansas State University?,0.6,0.25,0.0,0.0,Fail,1,0,older,younger
2wiki-7257ce93092f11ebbdaeac1f6bf848b6,False,True,False,False,Sa-Re-Ga-Ma-Pa,,switched,"Which film came out earlier, Sa-Re-Ga-Ma-Pa or Tarzan\'S Deadly Silence?","Which film came out later, Sa-Re-Ga-Ma-Pa or Tarzan\'S Deadly Silence?",0.0,0.0,0.0,0.0,Doubled_or_neither,0,0,earlier,later
hotpot-5ab3bf8f55429969a97a81a7,True,False,True,False,Skinny Puppy,The Golden Seals.,orig,"Which band was formed first, The Golden Seals or Skinny Puppy?","Which band was formed last, The Golden Seals or Skinny Puppy?",1.0,0.8571428571428571,1.0,0.0,Correct,1,1,first,last
2wiki-269b4ce5093711ebbdaeac1f6bf848b6,True,False,False,True,Arizona Bushwhackers (1968),Arizona Bushwhackers,switched,"Which film came out first, Arizona Bushwhackers or The Indians Are Still Far Away?","Which film came out last, Arizona Bushwhackers or The Indians Are Still Far Away?",0.8,0.0,0.0,0.0,Fail,1,0,first,last
2wiki-54e0448908cc11ebbd93ac1f6bf848b6,False,True,True,False,Paul Coffey,Paul Douglas Coffey,switched,Was Paul Coffey or Derek Ford born first?,Was Paul Coffey or Derek Ford born last?,0.0,0.8,0.0,0.0,Fail,0,1,first,last
2wiki-52cd883408ab11ebbd82ac1f6bf848b6,True,False,True,False,Anthony Van Hoboken,"Sue Mcleish was born on August 18,",orig,Was Anthony Van Hoboken or Sue Mcleish born first?,Was Anthony Van Hoboken or Sue Mcleish born last?,1.0,0.4,1.0,0.0,Correct,1,1,first,last
2wiki-2da9a38d08b311ebbd86ac1f6bf848b6,True,False,False,True,G. Tyler Miller,G. Tyler Miller,orig,"Who was born first, Djiguible Traoré or G. Tyler Miller?","Who was born last, Djiguible Traoré or G. Tyler Miller?",0.5714285714285715,0.0,0.0,0.0,Fail,1,0,first,last
2wiki-79bc1bcc087411ebbd67ac1f6bf848b6,True,False,False,False,Al Zimbalist was born first on March,,orig,"Who was born first, Al Zimbalist or William T. Piper Jr.?","Who was born last, Al Zimbalist or William T. Piper Jr.?",0.4444444444444445,0.0,0.0,0.0,Doubled_or_neither,1,0,first,last
2wiki-e66bdec7096211ebbdafac1f6bf848b6,True,False,True,True,A Thorn In The Heart. A Thorn In The,Aquarius (Film),orig,"Which film was released earlier, Aquarius (Film) or A Thorn In The Heart?","Which film was released later, Aquarius (Film) or A Thorn In The Heart?",0.6666666666666666,0.5,0.0,0.0,Doubled_or_neither,1,0,earlier,later
2wiki-24435b84086e11ebbd62ac1f6bf848b6,True,False,True,False,"Hernando Casanova Escobar ( October 21,",Antri Christoforou,switched,"Who was born earlier, Hernando Casanova or Antri Christoforou?","Who was born later, Hernando Casanova or Antri Christoforou?",0.4444444444444445,1.0,0.0,1.0,Correct,1,1,earlier,later
hotpot-5a9085785542995651fb5182,True,False,True,False,Better Than Ezra. Better Than Ezra is,The Breeders. The Breeders are,orig,"Which band formed first, Better Than Ezra or The Breeders?","Which band formed last, Better Than Ezra or The Breeders?",0.5454545454545454,0.5,0.0,0.0,Correct,1,1,first,last
2wiki-5cfe2b6e092911ebbdaeac1f6bf848b6,True,False,False,False,"Man'S Castle. In 1933, Man'",,orig,"Which film was released first, Man\'S Castle or Carry On Henry?","Which film was released last, Man\'S Castle or Carry On Henry?",0.1818181818181818,0.0,0.0,0.0,Doubled_or_neither,1,0,first,last
2wiki-72883c6f08f611ebbdaaac1f6bf848b6,True,False,False,True,Karl Ewald Hasse,Karl Ewald Hasse,switched,Who was born first out of Karl Ewald Hasse and John Bryce Mcleod?,Who was born last out of Karl Ewald Hasse and John Bryce Mcleod?,1.0,0.0,1.0,0.0,Fail,1,0,first,last
2wiki-e1b4cbc108f111ebbdaaac1f6bf848b6,True,False,False,True,Joy Scouts,Joy Scouts,switched,"Which film was released first, Nothing like the Holidays or Joy Scouts?","Which film was released last, Nothing like the Holidays or Joy Scouts?",1.0,0.0,1.0,0.0,Fail,1,0,first,last
2wiki-b0b4b34408b411ebbd88ac1f6bf848b6,True,False,False,False,Edmund Law,,switched,"Who died later, Bernard Of Italy or Edmund Law?","Who died earlier, Bernard Of Italy or Edmund Law?",1.0,0.0,1.0,0.0,Doubled_or_neither,1,0,later,earlier
2wiki-48f04a6a086811ebbd5eac1f6bf848b6,True,False,False,True,Yi Tjoune,Yi Tjoune,orig,Was James Gibson Lorimer or Yi Tjoune born first?,Was James Gibson Lorimer or Yi Tjoune born last?,1.0,0.0,1.0,0.0,Fail,1,0,first,last
2wiki-5bd0d08108f611ebbdaaac1f6bf848b6,True,False,True,True,Cao Yu.,Cao Yu was born before Bratislav,switched,Who was born first out of Cao Yu and Bratislav Anastasijević?,Who was born last out of Cao Yu and Bratislav Anastasijević?,0.8,0.25,0.0,0.0,Doubled_or_neither,1,0,first,last
2wiki-407d51d6089311ebbd74ac1f6bf848b6,True,False,False,True,Barrie James Vagg ( born 21 January 1943,Barrie Vagg ( born 21 January 1943 ),orig,Was David Normington or Barrie Vagg born first?,Was David Normington or Barrie Vagg born last?,0.4,0.0,0.0,0.0,Fail,1,0,first,last
2wiki-2bd5f681086011ebbd5dac1f6bf848b6,False,False,True,True,,Jackie Saunders was born earlier than Zhanna Nem,switched,"Who was born first, Jackie Saunders or Zhanna Nemtsova?","Who was born last, Jackie Saunders or Zhanna Nemtsova?",0.0,0.2,0.0,0.0,Doubled_or_neither,0,0,first,last
2wiki-2dce5179086a11ebbd5fac1f6bf848b6,False,False,False,False,,,switched,"Who is younger, Lorenzo Chiesa or Dorothy Buxton?","Who is older, Lorenzo Chiesa or Dorothy Buxton?",0.0,0.0,0.0,0.0,Doubled_or_neither,0,0,younger,older
2wiki-91ea7d1908b711ebbd88ac1f6bf848b6,True,False,False,True,John Alexander Mccreery.,John Alexander McCreery was born before Bray,switched,"Who was born first, John Alexander Mccreery or Brayan Peña?","Who was born last, John Alexander Mccreery or Brayan Peña?",0.8571428571428571,0.0,0.0,0.0,Fail,1,0,first,last
2wiki-51d68f9c088411ebbd6dac1f6bf848b6,False,True,True,False,Adeline Robinson (born 22 March 1865) was,Adeline Robinson.,orig,"Who is younger, Harald Leipnitz or Adeline Robinson?","Who is older, Harald Leipnitz or Adeline Robinson?",0.0,0.8,0.0,0.0,Fail,0,1,younger,older
2wiki-e581705e087011ebbd63ac1f6bf848b6,True,False,False,True,Robert Sterling Clark.,Robert Sterling Clark.,switched,Who was born first out of Robert Sterling Clark and Erich Lüth?,Who was born last out of Robert Sterling Clark and Erich Lüth?,0.8571428571428571,0.0,0.0,0.0,Fail,1,0,first,last
2wiki-f55a609f087f11ebbd6cac1f6bf848b6,False,True,False,True,Ousmane Viera Diarrassou,Manjul Bhargava( born 8 August,switched,Was Ousmane Viera or Manjul Bhargava born first?,Was Ousmane Viera or Manjul Bhargava born last?,0.0,0.0,0.0,0.0,Reversed,0,0,first,last
2wiki-87fe56d908fa11ebbdacac1f6bf848b6,True,False,False,True,Knut Haus,Knut Haus ( 23 June 1906 ) was born,orig,Who was born first out of Marques Houtman and Knut Haus?,Who was born last out of Marques Houtman and Knut Haus?,1.0,0.0,1.0,0.0,Fail,1,0,first,last
2wiki-c5c75528086411ebbd5eac1f6bf848b6,True,False,True,False,Johnny Stanley,Killian Cosgrove (25 April 1987),switched,Was Johnny Stanley or Killian Cosgrove born first?,Was Johnny Stanley or Killian Cosgrove born last?,1.0,0.5714285714285715,1.0,0.0,Correct,1,1,first,last
2wiki-61be4432098111ebbdb0ac1f6bf848b6,True,False,False,True,Girivalam,Girivalam,switched,"Which film came out first, Viyabari or Girivalam?","Which film came out last, Viyabari or Girivalam?",1.0,0.0,1.0,0.0,Fail,1,0,first,last
2wiki-697f5b0308ba11ebbd88ac1f6bf848b6,True,False,False,True,Teoliga Fakailoga ( born 12,Teoliga Fakailoga ( born 12,switched,"Who is younger, Teoliga Fakailoga or José María Romero de Tejada?","Who is older, Teoliga Fakailoga or José María Romero de Tejada?",0.5714285714285715,0.0,0.0,0.0,Fail,1,0,younger,older
2wiki-eeefe218094911ebbdaeac1f6bf848b6,True,False,True,False,Terry Of The Times,The Man From Saturday,orig,"Which film was released earlier, Terry Of The Times or The Man From Saturday?","Which film was released later, Terry Of The Times or The Man From Saturday?",1.0,0.6,1.0,0.0,Correct,1,1,earlier,later
hotpot-5a8f25745542997ba9cb31ec,True,False,False,True,"Cool Runnings was released on October 1,",Cool Runnings,orig,"Which came out first, Cool Runnings or Max Keeble\'s Big Move?","Which came out last, Cool Runnings or Max Keeble\'s Big Move?",0.4,0.0,0.0,0.0,Fail,1,0,first,last
2wiki-f457c34208ef11ebbda8ac1f6bf848b6,True,False,True,False,Kym Crosby.,"Pat ""Richard Patrick Gerald"" Rodriguez",switched,"Who was born later, Kym Crosby or Pat Rodriguez?","Who was born earlier, Kym Crosby or Pat Rodriguez?",0.8,0.5714285714285715,0.0,0.0,Correct,1,1,later,earlier
hotpot-5a7570475542992db9473667,True,False,True,False,Zheng Jie,Garbiñe Muguruza Blanco,orig,Which tennis player was born first Garbiñe Muguruza or Zheng Jie?,Which tennis player was born last Garbiñe Muguruza or Zheng Jie?,1.0,0.8,1.0,0.0,Correct,1,1,first,last
2wiki-86e871e7094c11ebbdaeac1f6bf848b6,True,False,False,True,Fred Claus. Fred Claus is a 2007 American fantasy,Fred Claus was released later in the UK on November,switched,"Which film was released first, Paa (Film) or Fred Claus?","Which film was released last, Paa (Film) or Fred Claus?",0.33333333333333337,0.0,0.0,0.0,Fail,1,0,first,last
2wiki-fb928360087f11ebbd6cac1f6bf848b6,True,False,False,True,Herb Hudson was born first on 28 May 1880,Herb Hudson,switched,"Who was born first, Taiwo Hassan or Herb Hudson?","Who was born last, Taiwo Hassan or Herb Hudson?",0.3636363636363636,0.0,0.0,0.0,Fail,1,0,first,last
2wiki-37adbadc08a211ebbd7aac1f6bf848b6,True,True,False,False,Joseph Seligman was born earlier than Brad T,,switched,"Who was born earlier, Joseph Seligman or Brad Treliving?","Who was born later, Joseph Seligman or Brad Treliving?",0.4,0.0,0.0,0.0,Doubled_or_neither,0,0,earlier,later
2wiki-c0b0368008ab11ebbd82ac1f6bf848b6,True,False,True,False,The Yakuza,Furia (Film),switched,"Which film came out earlier, The Yakuza or Furia (Film)?","Which film came out later, The Yakuza or Furia (Film)?",1.0,0.6666666666666666,1.0,0.0,Correct,1,1,earlier,later
2wiki-adc744fc088111ebbd6dac1f6bf848b6,True,False,False,True,Johann Jakob Von Tschudi was born first,Johann Jakob von Tschudi was born before,orig,"Who was born first, Vladimír Mathern or Johann Jakob Von Tschudi?","Who was born last, Vladimír Mathern or Johann Jakob Von Tschudi?",0.7272727272727273,0.0,0.0,0.0,Fail,1,0,first,last
2wiki-20587a64086d11ebbd61ac1f6bf848b6,False,True,True,False,"Filippo Simeoni ( August 17,",Filippo Simeoni is younger than Bur,switched,"Who is older, Filippo Simeoni or Burhanuddin Abdullah?","Who is younger, Filippo Simeoni or Burhanuddin Abdullah?",0.0,0.5,0.0,0.0,Fail,0,1,older,younger
2wiki-9e94445e088c11ebbd6fac1f6bf848b6,True,False,False,True,Nikolay Savin,Nikolay Savin,orig,"Who was born first, Nikolay Savin or Aja Evans?","Who was born last, Nikolay Savin or Aja Evans?",1.0,0.0,1.0,0.0,Fail,1,0,first,last
2wiki-474172d5097a11ebbdb0ac1f6bf848b6,False,True,False,True,Poonji,The Tango Star was released last. The T,switched,"Which film was released first, Poonji or The Tango Star?","Which film was released last, Poonji or The Tango Star?",0.0,0.0,0.0,0.0,Reversed,0,0,first,last
2wiki-8b8ebf9408e211ebbda4ac1f6bf848b6,True,False,False,False,"Dalmacio Langarica, who is younger",,switched,"Who is younger, Dalmacio Langarica or Andrzej Krzycki?","Who is older, Dalmacio Langarica or Andrzej Krzycki?",0.5,0.0,0.0,0.0,Doubled_or_neither,1,0,younger,older
hotpot-5a74562055429979e2882909,True,False,False,True,Busby Berkeley,Busby Berkeley,orig,Who was born first Busby Berkeley or Billy Bob Thornton ?,Who was born last Busby Berkeley or Billy Bob Thornton ?,1.0,0.0,1.0,0.0,Fail,1,0,first,last
2wiki-6fbbd17408c111ebbd8bac1f6bf848b6,True,False,False,True,Alvah Crocker. Alvah Cro,Alvah Crocker (Businessman and U,orig,"Who was born first, Stephen Levine (Author) or Alvah Crocker?","Who was born last, Stephen Levine (Author) or Alvah Crocker?",0.5714285714285715,0.0,0.0,0.0,Fail,1,0,first,last
2wiki-c8825099086f11ebbd62ac1f6bf848b6,False,True,True,True,Edwin Hammond.,Edwin Hammond (before Johann-Heinrich Eck,orig,"Who died later, Edwin Hammond or Johann-Heinrich Eckhardt?","Who died earlier, Edwin Hammond or Johann-Heinrich Eckhardt?",0.0,0.5714285714285715,0.0,0.0,Doubled_or_neither,0,0,later,earlier
hotpot-5a79e2225542994bb9457124,True,False,False,False,Chevelle,,switched,"Who likely release a song first, Chevelle or Miles Kane?","Who likely release a song last, Chevelle or Miles Kane?",1.0,0.0,1.0,0.0,Doubled_or_neither,1,0,first,last
2wiki-8b0783ad085c11ebbd5cac1f6bf848b6,False,True,True,False,Farhad Rahbar ( born 5 October 1959),Farhad Rahbar ( born 5 October 1959 in,switched,"Who is younger, Youssef Naciri or Farhad Rahbar?","Who is older, Youssef Naciri or Farhad Rahbar?",0.0,0.4,0.0,0.0,Fail,0,1,younger,older
2wiki-702b6c0e087c11ebbd6aac1f6bf848b6,True,False,True,False,Feargus Urquhart ( born 19 April 1970,Simonas Stanevičius,orig,"Who was born later, Simonas Stanevičius or Feargus Urquhart?","Who was born earlier, Simonas Stanevičius or Feargus Urquhart?",0.4444444444444445,1.0,0.0,1.0,Correct,1,1,later,earlier
hotpot-5a7a2c615542996a35c1711b,True,False,True,False,Perri was released first. Perri was released,The BFG (2016) was released later than,orig,"Which film was released first, The BFG or Perri?","Which film was released last, The BFG or Perri?",0.2222222222222222,0.25,0.0,0.0,Correct,1,1,first,last
2wiki-f9042d5208d511ebbd98ac1f6bf848b6,True,False,True,False,Angel Malvicino (born 20 May 1921),Rachel Sutherland. Rachel Sutherland was,switched,"Who is older, Ángel Malvicino or Rachel Sutherland?","Who is younger, Ángel Malvicino or Rachel Sutherland?",0.25,0.5,0.0,0.0,Correct,1,1,older,younger
2wiki-383e7106087211ebbd65ac1f6bf848b6,True,True,True,True,Wilhelm Bladin was born earlier than João Lou,João Loureiro was born later than Wilhelm,orig,"Who was born earlier, João Loureiro or Wilhelm Bladin?","Who was born later, João Loureiro or Wilhelm Bladin?",0.4,0.4444444444444445,0.0,0.0,Doubled_or_neither,0,0,earlier,later
